iter	Passed	Remaining
759	8470	2675
760	8486	2665
761	8502	2655
762	8518	2646
763	8533	2635
764	8548	2626
765	8564	2616
766	8578	2606
767	8593	2595
768	8607	2585
769	8620	2574
770	8634	2564
771	8647	2553
772	8661	2543
773	8675	2533
774	8689	2522
775	8702	2511
776	8716	2501
777	8730	2491
778	8743	2480
779	8756	2469
780	8770	2459
781	8785	2449
782	8798	2438
783	8812	2427
784	8826	2417
785	8839	2406
786	8852	2396
787	8865	2385
788	8878	2374
789	8892	2363
790	8908	2353
791	8925	2343
792	8940	2333
793	8953	2323
794	8967	2312
795	8981	2301
796	8993	2290
797	9005	2279
798	9019	2268
799	9033	2258
800	9046	2247
801	9058	2236
802	9071	2225
803	9083	2214
804	9096	2203
805	9109	2192
806	9121	2181
807	9134	2170
808	9147	2159
809	9160	2148
810	9172	2137
811	9185	2126
812	9197	2115
813	9210	2104
814	9222	2093
815	9236	2082
816	9249	2071
817	9264	2061
818	9278	2050
819	9291	2039
820	9304	2028
821	9317	2017
822	9331	2006
823	9344	1995
824	9357	1984
825	9370	1974
826	9383	1962
827	9398	1952
828	9414	1941
829	9432	1931
830	9458	1923
831	9474	1913
832	9489	1902
833	9506	1892
834	9522	1881
835	9538	1871
836	9553	1860
837	9566	1849
838	9581	1838
839	9595	1827
840	9609	1816
841	9622	1805
842	9637	1794
843	9651	1783
844	9664	1772
845	9677	1761
846	9688	1750
847	9698	1738
848	9711	1727
849	9724	1716
850	9736	1704
851	9750	1693
852	9763	1682
853	9776	1671
854	9790	1660
855	9803	1649
856	9816	1638
857	9829	1626
858	9843	1615
859	9858	1604
860	9876	1594
861	9891	1583
862	9905	1572
863	9918	1561
864	9932	1550
865	9945	1538
866	9958	1527
867	9972	1516
868	9984	1505
869	9998	1494
870	10010	1482
871	10024	1471
872	10036	1460
873	10050	1448
874	10063	1437
875	10075	1426
876	10089	1415
877	10104	1404
878	10117	1392
879	10131	1381
880	10144	1370
881	10158	1359
882	10171	1347
883	10185	1336
884	10198	1325
885	10213	1314
886	10228	1303
887	10238	1291
888	10251	1279
889	10265	1268
890	10279	1257
891	10292	1246
892	10307	1235
893	10319	1223
894	10334	1212
895	10349	1201
896	10364	1190
897	10377	1178
898	10388	1167
899	10400	1155
900	10411	1143
